day_index,date,daily_pnl,portfolio_balance,win_rate_pct,is_today
1,2026-05-18,-66599.7,9933400.3,69.4,False
2,2026-05-19,143993.7,10077394.0,75.0,False
3,2026-05-20,-60520.5,10016873.5,61.5,False
4,2026-05-21,275649.9,10292523.4,77.7,False
5,2026-05-22,153453.3,10445976.7,80.8,False
6,2026-05-25,213057.2,10659033.9,64.6,False
7,2026-05-26,232256.6,10891290.4,70.8,False
8,2026-05-27,194537.9,11085828.4,63.5,False
9,2026-05-28,168446.7,11254275.1,71.4,False
10,2026-05-29,143415.6,11397690.7,72.9,False
11,2026-06-01,148635.3,11546326.0,75.2,False
12,2026-06-02,-81309.1,11465016.9,83.7,False
13,2026-06-03,263096.1,11728113.0,67.6,False
14,2026-06-04,233657.2,11961770.2,71.0,False
15,2026-06-05,-51362.6,11910407.5,60.9,False
16,2026-06-08,242032.4,12152440.0,76.6,False
17,2026-06-09,334354.4,12486794.4,73.7,False
18,2026-06-10,-93328.0,12393466.4,79.4,False
19,2026-06-11,-42664.0,12350802.3,74.9,False
20,2026-06-12,212499.1,12563301.4,64.9,False
21,2026-06-15,317346.5,12880647.9,69.7,False
22,2026-06-16,266412.2,13147060.1,68.9,False
23,2026-06-17,-44341.8,13102718.3,63.5,False
24,2026-06-18,198892.1,13301610.4,84.7,False
25,2026-06-19,-86916.5,13214693.8,60.1,False
26,2026-06-22,174232.0,13388925.8,78.2,False
27,2026-06-23,345563.6,13734489.3,69.0,False
28,2026-06-24,178780.9,13913270.3,75.6,False
29,2026-06-25,329378.6,14242648.9,67.8,False
30,2026-06-26,-76355.9,14166292.9,75.9,False
31,2026-06-29,342435.6,14508728.5,63.0,False
32,2026-06-30,288734.3,14797462.8,74.0,False
33,2026-07-01,183587.8,14981050.6,73.1,False
34,2026-07-02,332318.2,15313368.7,62.7,False
35,2026-07-03,406126.8,15719495.6,67.9,False
36,2026-07-06,378664.1,16098159.6,66.2,False
37,2026-07-07,267809.4,16365969.0,65.7,False
38,2026-07-08,-115226.3,16250742.7,64.0,False
39,2026-07-09,-114053.6,16136689.1,75.8,False
40,2026-07-10,-91926.1,16044763.1,64.7,False
41,2026-07-13,-73645.7,15971117.3,80.2,False
42,2026-07-14,300795.6,16271913.0,62.8,False
43,2026-07-15,-49381.4,16222531.6,80.5,False
44,2026-07-16,252320.8,16474852.4,72.8,False
45,2026-07-17,446247.0,16921099.4,63.0,False
46,2026-07-20,393386.9,17314486.3,68.1,False
47,2026-07-21,-135264.9,17179221.4,69.1,False
48,2026-07-22,288852.3,17468073.7,66.3,False
49,2026-07-23,379983.5,17848057.3,67.1,False
50,2026-07-24,293749.5,18141806.7,72.6,False
51,2026-07-27,259760.2,18401566.9,82.7,False
52,2026-07-28,-77475.7,18324091.2,72.2,False
53,2026-07-29,289561.0,18613652.2,76.8,False
54,2026-07-30,411676.2,19025328.3,78.2,False
55,2026-07-31,255788.6,19281116.9,75.8,False
56,2026-08-03,288914.0,19570030.9,80.9,False
57,2026-08-04,446999.7,20017030.6,61.0,False
58,2026-08-05,312744.7,20329775.3,60.4,False
59,2026-08-06,468703.0,20798478.3,76.1,False
60,2026-08-08 (本日実取引),212608.5,21011086.8,90.0,True
